"Wavenumber (cm-1)","Refractive index","Extinction coefficient"
7494.230429,1.55376327,4.9804E-05
7493.748299,1.55376327,4.98913E-05
7493.266169,1.55376327,4.99595E-05
7492.784039,1.553763509,4.99421E-05
7492.301909,1.55376339,4.98237E-05
7491.819779,1.55376339,4.96784E-05
7491.337649,1.553763151,4.96182E-05
7490.85552,1.553763151,4.96912E-05
7490.37339,1.553763032,4.98314E-05
7489.89126,1.553763032,4.99279E-05
7489.40913,1.553763151,4.99226E-05
7488.927,1.553763151,4.98414E-05
7488.44487,1.553763032,4.97499E-05
7487.96274,1.553763032,4.96966E-05
7487.480611,1.553762794,4.96925E-05
7486.998481,1.553762794,4.97362E-05
7486.516351,1.553762555,4.98246E-05
7486.034221,1.553762555,4.99437E-05
7485.552091,1.553762555,5.00691E-05
7485.069961,1.553762674,5.01752E-05
7484.587831,1.553762555,5.02457E-05
7484.105702,1.553762794,5.02742E-05
7483.623572,1.553762794,5.02612E-05
7483.141442,1.553762794,5.02238E-05
7482.659312,1.553762794,5.01913E-05
7482.177182,1.553762794,5.01734E-05
7481.695052,1.553762913,5.01543E-05
7481.212922,1.553762913,5.00973E-05
7480.730793,1.553762913,4.99909E-05
7480.248663,1.553762913,4.98648E-05
7479.766533,1.553762794,4.97561E-05
7479.284403,1.553762674,4.96837E-05
7478.802273,1.553762436,4.96577E-05
7478.320143,1.553762317,4.96949E-05
7477.838013,1.553762197,4.98088E-05
7477.355884,1.553762197,4.99701E-05
7476.873754,1.553762197,5.01088E-05
7476.391624,1.553762317,5.01671E-05
7475.909494,1.553762436,5.01431E-05
7475.427364,1.553762555,5.00661E-05
7474.945234,1.553762436,4.9949E-05
7474.463104,1.553762555,4.97883E-05
7473.980975,1.553762317,4.96186E-05
7473.498845,1.553762197,4.95274E-05
7473.016715,1.55376184,4.95888E-05
7472.534585,1.553761721,4.9778E-05
7472.052455,1.553761601,4.99817E-05
7471.570325,1.55376184,5.01071E-05
7471.088195,1.55376184,5.01409E-05
7470.606066,1.553761959,5.01168E-05
7470.123936,1.553761959,5.00577E-05
7469.641806,1.553761959,4.99724E-05
7469.159676,1.55376184,4.98924E-05
7468.677546,1.55376184,4.98793E-05
7468.195416,1.553761601,4.995E-05
7467.713286,1.553761601,5.00482E-05
7467.231157,1.553761601,5.00973E-05
7466.749027,1.553761721,5.00896E-05
7466.266897,1.553761601,5.00808E-05
